Time(ms),MoTE,Pin,State,P&ID
45234.73406791687,1,0,True,NULL
45234.734453201294,2,0,True,NULL
45234.73467230797,3,0,True,NULL
45235.7025744915,1,0,True,NULL
45235.70290160179,2,0,True,NULL
45235.7030980587,3,0,True,NULL
45240.81324791908,3,22,False,NULL
45242.52583909035,3,22,True,NULL
45244.13007903099,3,22,False,NULL
45245.95453500748,3,22,True,NULL
45322.65010166168,3,22,False,NULL
45323.92610859871,3,22,False,NULL
45324.49407148361,3,22,False,NULL
45437.61791968346,3,0,True,NULL
45448.299322128296,3,1,True,NULL
45509.65786385536,1,0,True,NULL
45509.65822386742,2,0,True,NULL
45509.65844249725,3,0,True,NULL
45511.41386294365,1,0,False,NULL
45511.41421341896,2,0,False,NULL
45511.41441702843,3,0,False,NULL
45513.475422143936,3,22,False,NULL
45514.6583943367,3,22,True,NULL
45543.1819961071,3,22,False,NULL
45544.082228183746,3,22,False,NULL
45544.654091358185,3,22,False,NULL
45553.18325257301,3,22,True,NULL
45554.083435058594,3,22,True,NULL
45554.655324697495,3,22,True,NULL
